site,radius,order,n,log10_error,log10_bound,log10_sensitivity,max_orbit,below_noise_floor
attracting_zero,1e-3,8,32,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,33,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,33,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,33,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,33,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,34,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,34,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,34,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,34,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,35,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,35,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,35,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,35,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,36,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,36,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,36,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,36,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,37,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,37,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,37,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,37,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,38,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,38,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,38,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,38,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,39,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,39,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,39,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,39,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,40,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,40,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,40,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,40,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,41,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,41,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,41,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,41,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,42,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,42,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,42,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,42,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,43,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,43,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,43,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,43,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,44,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,44,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
