site,level,n,log10_radius,log10_inherited_error,log10_fresh_error,log10_periodic_error,log10_neighbor_signal,log10_differential_error,log10_differential_relative_to_signal,log10_inherited_relative_to_signal,log10_periodic_relative_to_signal
parabolic_cusp,14,24,-11.679697566075275,-19.281985879230692,-40.32537789565479,-32.53137214644376,-10.700658415639113,-24.68201478609161,-13.981356370452497,-8.58132746359158,-21.830713730804646
parabolic_cusp,15,25,-12.156818820794937,-19.312870182966513,-42.120517253461905,-32.566839816742075,-11.16229322552827,-25.190015936960634,-14.027722711432364,-8.150576957438243,-21.404546591213805
parabolic_cusp,16,26,-12.6339400755146,-19.342655164822194,-43.91990861668997,-32.59815305983627,-11.624480222793466,-25.69691798467862,-14.072437761885155,-7.718174942028728,-20.973672837042805
parabolic_cusp,17,27,-13.11106133023426,-19.371417770841997,-45.72323681734312,-45.26377384449692,-12.087180647243098,-26.20279764243686,-14.115616995193761,-7.284237123598899,-33.17659319725382
parabolic_cusp,18,28,-13.588182584953923,-19.399226908294942,-47.53022104866093,-46.110064981981445,-12.550359726724166,-26.707723739969698,-14.157364013245532,-6.8488671815707765,-33.55970525525728
parabolic_cusp,19,29,-14.065303839673586,-19.426144624440113,-49.340609982699306,-46.47871446335567,-13.013986143619723,-27.21175829876954,-14.197772155149815,-6.4121584808203895,-33.46472831973595
parabolic_cusp,20,30,-14.542425094393248,-19.452227024244923,-51.154177733888154,-46.62563695916406,-13.478031588236352,-27.714957415288474,-14.236925827052122,-5.974195436008571,-33.14760537092771
parabolic_cusp,21,31,-15.019546349112911,-19.477525020927544,-52.970720497173254,-46.69180583690458,-13.94247038255097,-28.217371999975473,-14.274901617424502,-5.5350546383765735,-32.749335454353606
parabolic_cusp,22,32,-15.496667603832574,-19.50208496491129,-54.790053728794945,-46.730038533926944,-14.40727916135719,-28.71904840239603,-14.31176924103884,-5.094805803554101,-32.322759372569756
parabolic_cusp,23,33,-15.973788858552236,-19.52594917778912,-56.612009767103466,-46.758464977307185,-14.872436600564308,-29.220028943918752,-14.347592343354444,-4.653512577224811,-31.88602837674288
parabolic_cusp,24,34,-16.4509101132719,-19.549156409323714,-58.436435812889485,-46.78319343638448,-15.337923184482765,-29.720352374289728,-14.382429189806963,-4.211233224840949,-31.445270251901714
parabolic_cusp,25,35,-16.92803136799156,-19.571742230899137,-60.263192205492295,-59.782128820818585,-15.803721005539826,-30.220054264942583,-14.416333259402757,-3.768021225359311,-43.97840781527876
parabolic_cusp,26,36,-17.405152622711224,-19.59373937592522,-62.09215094382946,-60.6168269899871,-16.26981359112525,-30.719167349355878,-14.449353758230629,-3.3239257847999717,-44.347013398861854
parabolic_cusp,27,37,-17.882273877430887,-19.61517803563162,-63.923194411467186,-60.97869236270292,-16.736185753254205,-31.217721818831713,-14.481536065577508,-2.878992282377414,-44.24250660944872
parabolic_cusp,28,38,-18.35939513215055,-19.636086117128862,-65.7562142726401,-61.12015600255545,-17.20282345751674,-31.71574558055185,-14.51292212303511,-2.4332626596121223,-43.917332545038704
parabolic_cusp,29,39,-18.836516386870212,-19.656489469394078,-67.59111051225928,-61.181333112369856,-17.669713708406707,-32.21326448356194,-14.543550775155236,-1.9867757609873706,-43.51161940396315
parabolic_cusp,30,40,-19.313637641589875,-19.67641208186724,-69.4277905978078,-61.21489609108636,-18.136844448623442,-32.71030251736743,-14.573458068743989,-1.5395676332437986,-43.07805164246292
parabolic_cusp,31,41,-19.790758896309537,-19.69587625956084,-71.2661687449017,-61.238911740431234,-18.604204470343664,-33.20688198704329,-14.602677516699625,-1.0916717892171768,-42.634707270087574
parabolic_cusp,32,42,-20.2678801510292,-19.714902777949902,-73.10616527141194,-61.25945590579863,-19.071783336789075,-33.703023668124146,-14.631240331335071,-0.6431194411608274,-42.18767256900956
parabolic_cusp,33,43,-20.74500140574886,-19.733511020389706,-74.94770602756164,-74.45270784603751,-19.539571312683183,-34.1987469440222,-14.659175631339014,-0.19393970770652302,-54.91313653335433
parabolic_cusp,34,44,-21.22212266046852,-19.751719100381436,-76.79072189146164,-75.28011081978931,-20.007559302410645,-34.69406992829299,-14.686510625882345,0.25584020202920854,-55.27255151737867
parabolic_cusp,35,45,-21.699243915188184,-19.769543970653423,-78.63514832121172,-75.63759249845117,-20.4757387948739,-35.18900957371686,-14.713270778842958,0.7061948242204785,-55.161853703577265
parabolic_cusp,36,46,-22.176365169907847,-19.787001520733128,-80.48092495531617,-75.77543402614437,-20.94410181419205,-35.68358176987102,-14.73947995567897,1.157100293458921,-54.831332211952315
parabolic_cusp,37,47,-22.65348642462751,-19.8041066644412,-82.32799515520327,-75.83325483040885,-21.412640875512036,-36.177801430623774,-14.765160555111738,1.608534211070836,-54.42061395489681
parabolic_cusp,38,48,-23.13060767934717,-19.820873418535026,-84.17630422553826,-75.863642615603,-21.881348945306772,-36.67168257277821,-14.790333627471437,2.0604755267717465,-53.98229367029623
parabolic_cusp,39,49,-23.607728934066834,-19.837314973557845,-86.02571805473117,-75.884629220332,-22.350219405622493,-37.165238386921345,-14.815018981298852,2.512904432064648,-53.534409814709505
parabolic_cusp,40,50,-24.084850188786497,-19.853443757804943,-87.86012031041282,-75.90227351430785,-22.81924602181159,-37.65848130139054,-14.839235279578947,2.9658022640066477,-53.08302749249626
parabolic_cusp,41,51,-24.56197144350616,-19.869271495196294,-89.15490181090756,-89.04545252243581,-23.28842291334966,-38.15142304014612,-14.86300012679646,3.4191514181533655,-65.75702960908615
parabolic_cusp,42,52,-25.039092698225822,-19.884809257741015,-89.30102993234385,-89.15489891799578,-23.757744527388525,-38.64407467523602,-14.886330147847495,3.8729352696475097,-65.39715439060726
parabolic_cusp,43,53,-25.516213952945485,-19.900067513190628,-88.9586072681641,-88.88605529886607,-24.227205614742125,-39.13644667444906,-14.909241059706936,4.327138101551498,-64.65884968412394
parabolic_cusp,44,54,-25.993335207665147,-19.91505616840236,-89.22184866251621,-88.99989097427121,-24.69680120804074,-39.62854894467836,-14.931747736637618,4.7817450396383805,-64.30308976623047
parabolic_cusp,45,55,-26.47045646238481,-19.929784608868992,-89.22184871770777,-88.79586255105329,-25.166526601822074,-40.12039087145122,-14.953864269629147,5.236741992953082,-63.62933594923122
parabolic_cusp,46,56,-26.947577717104473,-19.944261734815793,-89.22184872548888,-88.63826176060468,-25.636377334356133,-40.611981355026195,-14.975604020670062,5.69211559954034,-63.001884426248544
parabolic_cusp,47,57,-27.424698971824135,-19.95849599421715,-89.30102996092043,-88.65756755842679,-26.106349171025233,-41.10332884340969,-14.996979672384459,6.147853176808084,-62.55121838740156
parabolic_cusp,48,58,-27.901820226543798,-19.972495413043738,-88.99999993431297,-88.56863057149656,-26.57643808910176,-41.59444136260328,-15.018003273501517,6.603942676058022,-61.9921924823948
parabolic_cusp,49,59,-28.37894148126346,-19.986267623015124,-89.5228787160861,-89.15490179508684,-27.046640263784507,-42.08532654435629,-15.038686280571785,7.060372640769383,-62.10826153130233
parabolic_cusp,50,60,-28.856062735983123,-19.9998198871012,-88.92081868625975,-88.76955097925247,-27.516952055370425,-42.57599165166734,-15.059039596296913,7.5171321682692245,-61.25259892388205
